update_rule,K,N,L,attack,training_time,adversary_score
anti_hebbian,4.0,4.0,4.0,geometric,8.014853666666665,79.42708333333333
anti_hebbian,4.0,4.0,4.0,none,8.18704153434344,78.4603851010101
anti_hebbian,4.0,4.0,5.0,geometric,23.681097,67.5
anti_hebbian,4.0,4.0,5.0,none,22.975595000000002,77.5
anti_hebbian,4.0,4.0,6.0,geometric,12.275895,79.166664
anti_hebbian,4.0,4.0,6.0,none,14.753986,76.5625
anti_hebbian,4.0,4.0,7.0,geometric,17.756311,83.92857
anti_hebbian,4.0,4.0,7.0,none,20.557373000000002,88.39286
anti_hebbian,4.0,4.0,8.0,geometric,33.741572999999995,82.8125
anti_hebbian,4.0,4.0,8.0,none,28.494864,78.515625
anti_hebbian,4.0,4.0,9.0,geometric,32.494873,81.59722
anti_hebbian,4.0,4.0,9.0,none,47.781624,87.15278
anti_hebbian,4.0,4.0,10.0,geometric,79.68549,85.625
anti_hebbian,4.0,4.0,10.0,none,42.229504,89.375
anti_hebbian,4.0,4.0,11.0,geometric,79.8452,80.681816
anti_hebbian,4.0,4.0,11.0,none,64.78485,78.693184
anti_hebbian,4.0,4.0,12.0,geometric,57.467888,76.822914
anti_hebbian,4.0,4.0,12.0,none,46.667313,83.854164
anti_hebbian,4.0,4.0,13.0,geometric,49.351803000000004,81.25
anti_hebbian,4.0,4.0,13.0,none,74.023605,76.68269000000001
anti_hebbian,4.0,4.0,14.0,geometric,64.55671,78.57143
anti_hebbian,4.0,4.0,14.0,none,74.653755,83.03571
anti_hebbian,4.0,4.0,15.0,geometric,102.18049,82.083336
anti_hebbian,4.0,4.0,15.0,none,104.82848,83.125
anti_hebbian,4.0,4.0,16.0,geometric,212.6956,86.91405999999999
anti_hebbian,4.0,4.0,16.0,none,97.354034,77.734375
anti_hebbian,4.0,4.0,17.0,geometric,81.39658,76.65441
anti_hebbian,4.0,4.0,17.0,none,144.08345,83.45588000000001
anti_hebbian,4.0,4.0,18.0,geometric,166.83268999999999,74.13194
anti_hebbian,4.0,4.0,18.0,none,133.37773,81.770836
anti_hebbian,4.0,4.0,19.0,geometric,130.62779,79.44079
anti_hebbian,4.0,4.0,19.0,none,141.87896999999998,82.23684
anti_hebbian,4.0,4.0,20.0,geometric,168.52252,77.65625
anti_hebbian,4.0,4.0,20.0,none,323.16675,74.375
anti_hebbian,4.0,4.0,21.0,geometric,145.86158999999998,80.059525
anti_hebbian,4.0,4.0,21.0,none,204.80188,82.7381
anti_hebbian,4.0,4.0,22.0,geometric,193.73055,73.579544
anti_hebbian,4.0,4.0,22.0,none,242.51417999999998,83.23864
anti_hebbian,4.0,4.0,23.0,geometric,503.30432,92.25543
anti_hebbian,4.0,4.0,23.0,none,179.05186,78.66848
anti_hebbian,4.0,4.0,24.0,geometric,339.83163,80.20833250000001
anti_hebbian,4.0,4.0,24.0,none,274.80321436548223,80.11579945685281
anti_hebbian,4.0,5.0,4.0,geometric,8.977808,70.625
anti_hebbian,4.0,5.0,4.0,none,8.651749,74.375
anti_hebbian,4.0,5.0,5.0,geometric,29.880764000000003,78.5
anti_hebbian,4.0,5.0,5.0,none,12.910936999999999,86.5
anti_hebbian,4.0,5.0,6.0,geometric,31.641046999999997,72.083336
anti_hebbian,4.0,5.0,6.0,none,30.791044,78.333336
anti_hebbian,4.0,5.0,7.0,geometric,36.544224,83.92857
anti_hebbian,4.0,5.0,7.0,none,14.073326999999999,86.42857
anti_hebbian,4.0,5.0,8.0,geometric,19.622177,86.25
anti_hebbian,4.0,5.0,8.0,none,35.342859999999995,77.1875
anti_hebbian,4.0,5.0,9.0,geometric,65.17090999999999,78.333336
anti_hebbian,4.0,5.0,9.0,none,54.545806999999996,74.166664
anti_hebbian,4.0,5.0,10.0,geometric,38.16662,74.0
anti_hebbian,4.0,5.0,10.0,none,57.53256999999999,86.0
anti_hebbian,4.0,5.0,11.0,geometric,85.251976,79.318184
anti_hebbian,4.0,5.0,11.0,none,53.860535,84.545456
anti_hebbian,4.0,5.0,12.0,geometric,101.859505,71.041664
anti_hebbian,4.0,5.0,12.0,none,111.53408,82.083336
anti_hebbian,4.0,5.0,13.0,geometric,64.46600000000001,82.69230999999999
anti_hebbian,4.0,5.0,13.0,none,52.3965,84.42308
anti_hebbian,4.0,5.0,14.0,geometric,78.65593,79.82143
anti_hebbian,4.0,5.0,14.0,none,147.97952,86.07143
anti_hebbian,4.0,5.0,15.0,geometric,206.85902,87.0
anti_hebbian,4.0,5.0,15.0,none,144.73315,85.666664
anti_hebbian,4.0,5.0,16.0,geometric,254.8559,84.0625
anti_hebbian,4.0,5.0,16.0,none,180.40453,79.6875
anti_hebbian,4.0,5.0,17.0,geometric,161.50188,77.64706
anti_hebbian,4.0,5.0,17.0,none,288.60147,82.20588000000001
anti_hebbian,4.0,5.0,18.0,geometric,118.68131000000001,79.166664
anti_hebbian,4.0,5.0,18.0,none,279.5698,81.25
anti_hebbian,4.0,5.0,19.0,geometric,314.48287999999997,79.07895
anti_hebbian,4.0,5.0,19.0,none,173.4631,77.89474
anti_hebbian,4.0,5.0,20.0,geometric,184.98546000000002,73.125
anti_hebbian,4.0,5.0,20.0,none,253.40804,72.875
anti_hebbian,4.0,5.0,21.0,geometric,225.73743,78.57143
anti_hebbian,4.0,5.0,21.0,none,247.66064,80.0
anti_hebbian,4.0,5.0,22.0,geometric,326.83176000000003,75.22726999999999
anti_hebbian,4.0,5.0,22.0,none,257.68143,86.36364
anti_hebbian,4.0,5.0,23.0,geometric,407.9549,88.152176
anti_hebbian,4.0,5.0,23.0,none,309.98654,81.521736
anti_hebbian,4.0,6.0,4.0,geometric,11.483585,71.875
anti_hebbian,4.0,6.0,4.0,none,10.999568,83.333336
anti_hebbian,4.0,6.0,5.0,geometric,16.510056,77.5
anti_hebbian,4.0,6.0,5.0,none,19.640179,79.583336
anti_hebbian,4.0,6.0,6.0,geometric,36.961075,71.18056
anti_hebbian,4.0,6.0,6.0,none,27.750840000000004,87.5
anti_hebbian,4.0,6.0,7.0,geometric,33.599486999999996,73.5119
anti_hebbian,4.0,6.0,7.0,none,27.781540000000003,86.90476
anti_hebbian,4.0,6.0,8.0,geometric,23.659657,82.291664
anti_hebbian,4.0,6.0,8.0,none,44.450626,80.208336
anti_hebbian,4.0,6.0,9.0,geometric,54.506240000000005,86.111115
anti_hebbian,4.0,6.0,9.0,none,72.127686,81.48148
anti_hebbian,4.0,6.0,10.0,geometric,121.44129,73.958336
anti_hebbian,4.0,6.0,10.0,none,70.40803000000001,86.458336
anti_hebbian,4.0,6.0,11.0,geometric,92.581856,84.09091
anti_hebbian,4.0,6.0,11.0,none,103.92217,76.893936
anti_hebbian,4.0,6.0,12.0,geometric,68.294815,75.520836
anti_hebbian,4.0,6.0,12.0,none,138.50905,80.55556
anti_hebbian,4.0,6.0,13.0,geometric,135.21375,82.69230999999999
anti_hebbian,4.0,6.0,13.0,none,142.53557,80.76923000000001
anti_hebbian,4.0,6.0,14.0,geometric,169.50516000000002,77.82738
anti_hebbian,4.0,6.0,14.0,none,196.12036,87.05357
anti_hebbian,4.0,6.0,15.0,geometric,131.26366000000002,79.02778
anti_hebbian,4.0,6.0,15.0,none,125.055824,80.97222
anti_hebbian,4.0,6.0,16.0,geometric,138.17801,77.99479000000001
anti_hebbian,4.0,6.0,16.0,none,197.00412,82.8125
anti_hebbian,4.0,6.0,17.0,geometric,166.49118,81.37255
anti_hebbian,4.0,6.0,17.0,none,226.54577999999998,74.87745
anti_hebbian,4.0,6.0,18.0,geometric,259.12,78.00926
anti_hebbian,4.0,6.0,18.0,none,170.67944,80.55556
anti_hebbian,4.0,6.0,19.0,geometric,321.30984,78.399124
anti_hebbian,4.0,6.0,19.0,none,285.31448,79.49561
anti_hebbian,4.0,6.0,20.0,geometric,302.03267999999997,76.354164
anti_hebbian,4.0,6.0,20.0,none,237.52603,81.354164
anti_hebbian,4.0,6.0,21.0,geometric,478.7785,81.64683000000001
anti_hebbian,4.0,6.0,21.0,none,282.72507,80.65476
anti_hebbian,4.0,6.0,22.0,geometric,432.63125999999994,76.60985
anti_hebbian,4.0,6.0,22.0,none,7367.5874,76.041664
anti_hebbian,4.0,6.0,23.0,geometric,342.76004,77.71739000000001
anti_hebbian,4.0,6.0,23.0,none,430.74503,74.184784
anti_hebbian,4.0,7.0,4.0,geometric,17.073647,75.44643
anti_hebbian,4.0,7.0,4.0,none,14.244801999999998,82.14286
anti_hebbian,4.0,7.0,5.0,geometric,18.412123,79.64286
anti_hebbian,4.0,7.0,5.0,none,28.132434999999997,81.07143
anti_hebbian,4.0,7.0,6.0,geometric,24.324272,83.03571
anti_hebbian,4.0,7.0,6.0,none,44.526509999999995,76.4881
anti_hebbian,4.0,7.0,7.0,geometric,28.966944,78.57143
anti_hebbian,4.0,7.0,7.0,none,31.019133,81.37755
anti_hebbian,4.0,7.0,8.0,geometric,70.69216,76.78571
anti_hebbian,4.0,7.0,8.0,none,36.56861,79.01786
anti_hebbian,4.0,7.0,9.0,geometric,78.08299,80.35714
anti_hebbian,4.0,7.0,9.0,none,74.10271999999999,80.75397
anti_hebbian,4.0,7.0,10.0,geometric,93.28428000000001,79.82143
anti_hebbian,4.0,7.0,10.0,none,82.70114000000001,73.57143
anti_hebbian,4.0,7.0,11.0,geometric,68.43033,79.545456
anti_hebbian,4.0,7.0,11.0,none,87.53566,82.954544
anti_hebbian,4.0,7.0,12.0,geometric,119.889145,79.6131
anti_hebbian,4.0,7.0,12.0,none,106.05033,78.72024
anti_hebbian,4.0,7.0,13.0,geometric,150.12515,84.34066
anti_hebbian,4.0,7.0,13.0,none,259.62134,79.39560999999999
anti_hebbian,4.0,7.0,14.0,geometric,203.77646000000001,79.20918
anti_hebbian,4.0,7.0,14.0,none,104.88833000000001,82.39796
anti_hebbian,4.0,7.0,15.0,geometric,140.31038,82.02381
anti_hebbian,4.0,7.0,15.0,none,167.2029,85.95238
anti_hebbian,4.0,7.0,16.0,geometric,292.48607999999996,80.02232
anti_hebbian,4.0,7.0,16.0,none,273.21283,82.8125
anti_hebbian,4.0,7.0,17.0,geometric,182.04183999999998,80.14706
anti_hebbian,4.0,7.0,17.0,none,371.43199999999996,80.2521
anti_hebbian,4.0,7.0,18.0,geometric,222.48862000000003,79.06746
anti_hebbian,4.0,7.0,18.0,none,264.68997,85.81349
anti_hebbian,4.0,7.0,19.0,geometric,372.1158,80.54511
anti_hebbian,4.0,7.0,19.0,none,288.064,82.23684
anti_hebbian,4.0,7.0,20.0,geometric,490.95822000000004,77.67857
anti_hebbian,4.0,7.0,20.0,none,385.26883,78.125
anti_hebbian,4.0,7.0,21.0,geometric,433.92657,76.190475
anti_hebbian,4.0,7.0,21.0,none,437.31882,83.07823
anti_hebbian,4.0,7.0,22.0,geometric,413.4481,73.376625
anti_hebbian,4.0,7.0,22.0,none,383.42199999999997,78.49025999999999
anti_hebbian,4.0,7.0,23.0,geometric,659.1922,81.4441
anti_hebbian,4.0,7.0,23.0,none,364.8776,86.490685
anti_hebbian,4.0,8.0,4.0,geometric,23.898048,84.375
anti_hebbian,4.0,8.0,4.0,none,14.095663,77.34375
anti_hebbian,4.0,8.0,5.0,geometric,36.019257,80.625
anti_hebbian,4.0,8.0,5.0,none,26.355096999999997,79.375
anti_hebbian,4.0,8.0,6.0,geometric,31.123741,86.458336
anti_hebbian,4.0,8.0,6.0,none,28.095413,72.65625
anti_hebbian,4.0,8.0,7.0,geometric,40.299988,73.66071
anti_hebbian,4.0,8.0,7.0,none,49.027786,72.54464
anti_hebbian,4.0,8.0,8.0,geometric,51.257690000000004,77.92969000000001
anti_hebbian,4.0,8.0,8.0,none,91.210625,82.8125
anti_hebbian,4.0,8.0,9.0,geometric,68.75551999999999,75.0
anti_hebbian,4.0,8.0,9.0,none,117.61137,80.03472
anti_hebbian,4.0,8.0,10.0,geometric,73.77528000000001,79.84375
anti_hebbian,4.0,8.0,10.0,none,87.07598,73.59375
anti_hebbian,4.0,8.0,11.0,geometric,129.15416000000002,75.85226999999999
anti_hebbian,4.0,8.0,11.0,none,115.70181000000001,82.52841
anti_hebbian,4.0,8.0,12.0,geometric,140.92014,80.33854000000001
anti_hebbian,4.0,8.0,12.0,none,137.8489,83.72395999999999
anti_hebbian,4.0,8.0,13.0,geometric,144.29622,82.33173000000001
anti_hebbian,4.0,8.0,13.0,none,93.88625,84.73558
anti_hebbian,4.0,8.0,14.0,geometric,174.87773,83.92857
anti_hebbian,4.0,8.0,14.0,none,120.84544,81.25
anti_hebbian,4.0,8.0,15.0,geometric,198.56028999999998,82.604164
anti_hebbian,4.0,8.0,15.0,none,247.85902000000002,79.166664
anti_hebbian,4.0,8.0,16.0,geometric,300.742,73.33984
anti_hebbian,4.0,8.0,16.0,none,305.15463,75.390625
anti_hebbian,4.0,8.0,17.0,geometric,266.7681,80.23897
anti_hebbian,4.0,8.0,17.0,none,261.03567999999996,83.180145
anti_hebbian,4.0,24.0,4.0,geometric,70.52372299999999,78.059898
anti_hebbian,4.0,24.0,4.0,none,60.294726,79.101562
anti_hebbian,4.0,24.0,24.0,geometric,2255.7962500000003,79.82856
anti_hebbian,4.0,24.0,24.0,none,1906.3386,80.240885
anti_hebbian,24.0,4.0,4.0,geometric,52.797081,79.36197999999999
anti_hebbian,24.0,4.0,4.0,none,65.1405755,79.23177000000001
anti_hebbian,24.0,4.0,24.0,geometric,2466.9462999999996,80.566405
anti_hebbian,24.0,4.0,24.0,none,1897.09505,78.7000875
anti_hebbian,24.0,24.0,4.0,geometric,443.4085,79.51388750000001
anti_hebbian,24.0,24.0,4.0,none,431.40903,78.342013
anti_hebbian,24.0,24.0,24.0,geometric,19239.6755,80.10887
anti_hebbian,24.0,24.0,24.0,none,14501.906500000001,80.54470500000001
hebbian,4.0,4.0,4.0,geometric,9.291769166666667,79.16666666666667
hebbian,4.0,4.0,4.0,none,8.355820019191919,78.63399621212122
hebbian,4.0,4.0,5.0,geometric,9.926604,70.625
hebbian,4.0,4.0,5.0,none,11.797134,79.375
hebbian,4.0,4.0,6.0,geometric,19.681435,77.083336
hebbian,4.0,4.0,6.0,none,33.844124,72.916664
hebbian,4.0,4.0,7.0,geometric,38.0775,75.89286
hebbian,4.0,4.0,7.0,none,21.448975,84.375
hebbian,4.0,4.0,8.0,geometric,19.969279999999998,83.984375
hebbian,4.0,4.0,8.0,none,26.583997999999998,78.515625
hebbian,4.0,4.0,9.0,geometric,58.873940000000005,79.513885
hebbian,4.0,4.0,9.0,none,28.513077000000003,76.736115
hebbian,4.0,4.0,10.0,geometric,50.147682,81.875
hebbian,4.0,4.0,10.0,none,32.49112,82.5
hebbian,4.0,4.0,11.0,geometric,44.125282,77.556816
hebbian,4.0,4.0,11.0,none,50.37522,82.38636
hebbian,4.0,4.0,12.0,geometric,48.16518,82.8125
hebbian,4.0,4.0,12.0,none,71.441185,69.270836
hebbian,4.0,4.0,13.0,geometric,86.14164,76.68269000000001
hebbian,4.0,4.0,13.0,none,188.81332,86.29808
hebbian,4.0,4.0,14.0,geometric,111.93678,77.00893
hebbian,4.0,4.0,14.0,none,122.4784,83.03571
hebbian,4.0,4.0,15.0,geometric,67.11801,80.208336
hebbian,4.0,4.0,15.0,none,96.22895,81.666664
hebbian,4.0,4.0,16.0,geometric,138.24598999999998,84.765625
hebbian,4.0,4.0,16.0,none,107.20846599999999,72.46094000000001
hebbian,4.0,4.0,17.0,geometric,135.83231999999998,83.63971
hebbian,4.0,4.0,17.0,none,74.999275,80.51471
hebbian,4.0,4.0,18.0,geometric,188.0314,71.875
hebbian,4.0,4.0,18.0,none,148.28957,79.166664
hebbian,4.0,4.0,19.0,geometric,218.4203,85.197365
hebbian,4.0,4.0,19.0,none,132.93791000000002,84.375
hebbian,4.0,4.0,20.0,geometric,142.10721,85.625
hebbian,4.0,4.0,20.0,none,165.48238,79.375
hebbian,4.0,4.0,21.0,geometric,270.62523999999996,86.60714
hebbian,4.0,4.0,21.0,none,177.72799999999998,77.083336
hebbian,4.0,4.0,22.0,geometric,161.536,80.11364
hebbian,4.0,4.0,22.0,none,135.5958,75.568184
hebbian,4.0,4.0,23.0,geometric,186.95528000000002,83.016304
hebbian,4.0,4.0,23.0,none,181.51917,72.28260999999999
hebbian,4.0,4.0,24.0,geometric,345.269485,80.92447999999999
hebbian,4.0,4.0,24.0,none,270.29656385786785,79.95386525380708
hebbian,4.0,5.0,4.0,geometric,12.438261,73.125
hebbian,4.0,5.0,4.0,none,10.531958,85.0
hebbian,4.0,5.0,5.0,geometric,23.138405,85.5
hebbian,4.0,5.0,5.0,none,16.172216,77.0
hebbian,4.0,5.0,6.0,geometric,23.696379999999998,77.5
hebbian,4.0,5.0,6.0,none,25.311224,76.25
hebbian,4.0,5.0,7.0,geometric,25.333578,82.5
