update_rule,K,N,L,attack,tt,training_time,adversary_score_none,adversary_score_geometric,adversary_score_average
anti_hebbian,4,4,4,geometric,8.014853667,8.100947601,78.4603851,79.42708333,78.94373422
anti_hebbian,4,4,4,none,8.187041534,15.93406927,67.5,78.4603851,72.98019255
anti_hebbian,4,4,5,geometric,23.681097,23.328346,77.5,67.5,72.5
anti_hebbian,4,4,5,none,22.975595,17.625745,79.166664,77.5,78.333332
anti_hebbian,4,4,6,geometric,12.275895,13.5149405,76.5625,79.166664,77.864582
anti_hebbian,4,4,6,none,14.753986,16.2551485,83.92857,76.5625,80.245535
anti_hebbian,4,4,7,geometric,17.756311,19.156842,88.39286,83.92857,86.160715
anti_hebbian,4,4,7,none,20.557373,27.149473,82.8125,88.39286,85.60268
anti_hebbian,4,4,8,geometric,33.741573,31.1182185,78.515625,82.8125,80.6640625
anti_hebbian,4,4,8,none,28.494864,30.4948685,81.59722,78.515625,80.0564225
anti_hebbian,4,4,9,geometric,32.494873,40.1382485,87.15278,81.59722,84.375
anti_hebbian,4,4,9,none,47.781624,63.733557,85.625,87.15278,86.38889
anti_hebbian,4,4,10,geometric,79.68549,60.957497,89.375,85.625,87.5
anti_hebbian,4,4,10,none,42.229504,61.037352,80.681816,89.375,85.028408
anti_hebbian,4,4,11,geometric,79.8452,72.315025,78.693184,80.681816,79.6875
anti_hebbian,4,4,11,none,64.78485,61.126369,76.822914,78.693184,77.758049
anti_hebbian,4,4,12,geometric,57.467888,52.0676005,83.854164,76.822914,80.338539
anti_hebbian,4,4,12,none,46.667313,48.009558,81.25,83.854164,82.552082
anti_hebbian,4,4,13,geometric,49.351803,61.687704,76.68269,81.25,78.966345
anti_hebbian,4,4,13,none,74.023605,69.2901575,78.57143,76.68269,77.62706
anti_hebbian,4,4,14,geometric,64.55671,69.6052325,83.03571,78.57143,80.80357
anti_hebbian,4,4,14,none,74.653755,88.4171225,82.083336,83.03571,82.559523
anti_hebbian,4,4,15,geometric,102.18049,103.504485,83.125,82.083336,82.604168
anti_hebbian,4,4,15,none,104.82848,158.76204,86.91406,83.125,85.01953
anti_hebbian,4,4,16,geometric,212.6956,155.024817,77.734375,86.91406,82.3242175
anti_hebbian,4,4,16,none,97.354034,89.375307,76.65441,77.734375,77.1943925
anti_hebbian,4,4,17,geometric,81.39658,112.740015,83.45588,76.65441,80.055145
anti_hebbian,4,4,17,none,144.08345,155.45807,74.13194,83.45588,78.79391
anti_hebbian,4,4,18,geometric,166.83269,150.10521,81.770836,74.13194,77.951388
anti_hebbian,4,4,18,none,133.37773,132.00276,79.44079,81.770836,80.605813
anti_hebbian,4,4,19,geometric,130.62779,136.25338,82.23684,79.44079,80.838815
anti_hebbian,4,4,19,none,141.87897,155.200745,77.65625,82.23684,79.946545
anti_hebbian,4,4,20,geometric,168.52252,245.844635,74.375,77.65625,76.015625
anti_hebbian,4,4,20,none,323.16675,234.51417,80.059525,74.375,77.2172625
anti_hebbian,4,4,21,geometric,145.86159,175.331735,82.7381,80.059525,81.3988125
anti_hebbian,4,4,21,none,204.80188,199.266215,73.579544,82.7381,78.158822
anti_hebbian,4,4,22,geometric,193.73055,218.122365,83.23864,73.579544,78.409092
anti_hebbian,4,4,22,none,242.51418,372.90925,92.25543,83.23864,87.747035
anti_hebbian,4,4,23,geometric,503.30432,341.17809,78.66848,92.25543,85.461955
anti_hebbian,4,4,23,none,179.05186,259.441745,80.2083325,78.66848,79.43840625
anti_hebbian,4,4,24,geometric,339.83163,307.3174222,80.11579946,80.2083325,80.16206598
anti_hebbian,4,4,24,none,274.8032144,141.8905112,70.625,80.11579946,75.37039973
anti_hebbian,4,5,4,geometric,8.977808,8.8147785,74.375,70.625,72.5
anti_hebbian,4,5,4,none,8.651749,19.2662565,78.5,74.375,76.4375
anti_hebbian,4,5,5,geometric,29.880764,21.3958505,86.5,78.5,82.5
anti_hebbian,4,5,5,none,12.910937,22.275992,72.083336,86.5,79.291668
