update_rule,K,N,L,attack,training_time,adversary_score
random_walk,4.0,4.0,24.0,none,214.46896,74.739586
random_walk,4.0,4.0,4.0,none,7.809325,77.34375
hebbian,4.0,4.0,24.0,none,303.59805,84.765625
anti_hebbian,4.0,4.0,24.0,none,354.56805,77.21354
random_walk,4.0,4.0,24.0,none,238.53914,71.22396
anti_hebbian,4.0,4.0,4.0,none,7.649407,76.5625
random_walk,4.0,4.0,4.0,none,7.827735,74.21875
anti_hebbian,4.0,4.0,24.0,none,263.1948,87.36979
hebbian,4.0,4.0,4.0,none,8.414995,82.8125
anti_hebbian,4.0,4.0,4.0,none,5.081625,75.78125
random_walk,4.0,4.0,24.0,none,433.35257,85.677086
anti_hebbian,4.0,4.0,4.0,none,8.549236,75.0
hebbian,4.0,4.0,24.0,none,366.16434,77.734375
random_walk,4.0,4.0,24.0,none,237.66376,78.25521
anti_hebbian,4.0,4.0,4.0,none,10.00217,78.90625
hebbian,4.0,4.0,4.0,none,6.499807,85.15625
anti_hebbian,4.0,4.0,24.0,none,232.0118,74.34896
random_walk,4.0,4.0,4.0,none,6.128345,82.03125
random_walk,4.0,4.0,24.0,none,258.79315,82.552086
anti_hebbian,4.0,4.0,4.0,none,16.37242,78.90625
hebbian,4.0,4.0,24.0,none,212.30423,80.208336
random_walk,4.0,4.0,24.0,none,282.50803,83.59375
anti_hebbian,4.0,4.0,24.0,none,188.9398,86.197914
anti_hebbian,4.0,4.0,24.0,none,356.53973,70.96354
random_walk,4.0,4.0,4.0,none,6.640419,82.03125
anti_hebbian,4.0,4.0,4.0,none,5.329887,81.25
hebbian,4.0,4.0,4.0,none,8.162473,75.0
random_walk,4.0,4.0,24.0,none,354.6694,75.390625
random_walk,4.0,4.0,4.0,none,7.8589,86.71875
random_walk,4.0,4.0,24.0,none,263.22742,78.90625
anti_hebbian,4.0,4.0,4.0,none,7.566306,82.8125
hebbian,4.0,4.0,24.0,none,204.68016,74.34896
random_walk,4.0,4.0,4.0,none,4.516385,77.34375
hebbian,4.0,4.0,4.0,none,8.063276,75.0
anti_hebbian,4.0,4.0,4.0,none,7.2879763,70.3125
random_walk,4.0,4.0,4.0,none,4.7809896,92.1875
random_walk,4.0,4.0,24.0,none,278.86154,78.125
anti_hebbian,4.0,4.0,24.0,none,370.4734,83.59375
random_walk,4.0,4.0,24.0,none,251.23233,72.916664
anti_hebbian,4.0,4.0,24.0,none,296.78757,75.78125
anti_hebbian,4.0,4.0,4.0,none,7.141065,86.71875
hebbian,4.0,4.0,4.0,none,6.191615,84.375
anti_hebbian,4.0,4.0,24.0,none,288.20453,77.864586
random_walk,4.0,4.0,4.0,none,9.728927,96.09375
random_walk,4.0,4.0,24.0,none,199.17793,77.47396
random_walk,4.0,4.0,4.0,none,8.5709915,71.09375
hebbian,4.0,4.0,24.0,none,393.47415,70.833336
random_walk,4.0,4.0,4.0,none,4.880953,78.90625
anti_hebbian,4.0,4.0,24.0,none,477.78708,74.86979
hebbian,4.0,4.0,4.0,none,4.2142887,81.25
hebbian,4.0,4.0,24.0,none,329.27176,85.416664
anti_hebbian,4.0,4.0,4.0,none,6.438546,68.75
anti_hebbian,4.0,4.0,24.0,none,216.68344,77.864586
hebbian,4.0,4.0,24.0,none,226.96277,76.5625
hebbian,4.0,4.0,4.0,none,7.912174,73.4375
random_walk,4.0,4.0,24.0,none,173.16725,78.645836
hebbian,4.0,4.0,24.0,none,207.3201,82.8125
hebbian,4.0,4.0,4.0,none,15.006463,73.4375
anti_hebbian,4.0,4.0,4.0,none,7.269621,71.09375
random_walk,4.0,4.0,4.0,none,7.992184,75.78125
anti_hebbian,4.0,4.0,24.0,none,303.43964,87.760414
hebbian,4.0,4.0,24.0,none,264.3003,76.822914
random_walk,4.0,4.0,24.0,none,194.282,88.93229
random_walk,4.0,4.0,4.0,none,8.600522,76.5625
hebbian,4.0,4.0,24.0,none,141.92296,79.427086
random_walk,4.0,4.0,24.0,none,210.22551,67.1875
hebbian,4.0,4.0,24.0,none,371.38837,86.06771
anti_hebbian,4.0,4.0,24.0,none,264.0537,89.322914
random_walk,4.0,4.0,4.0,none,7.768085,75.78125
hebbian,4.0,4.0,24.0,none,220.38739,84.635414
anti_hebbian,4.0,4.0,4.0,none,9.634545,80.46875
hebbian,4.0,4.0,4.0,none,10.967479,75.78125
random_walk,4.0,4.0,24.0,none,316.3922,77.083336
hebbian,4.0,4.0,4.0,none,7.570848,78.90625
hebbian,4.0,4.0,24.0,none,235.4164,78.90625
random_walk,4.0,4.0,24.0,none,299.3511,76.43229
random_walk,4.0,4.0,24.0,none,414.57452,83.984375
hebbian,4.0,4.0,24.0,none,238.96109,87.890625
anti_hebbian,4.0,4.0,4.0,none,12.439831,75.78125
anti_hebbian,4.0,4.0,4.0,none,7.0848217,80.46875
hebbian,4.0,4.0,4.0,none,6.235981,72.65625
anti_hebbian,4.0,4.0,24.0,none,164.35646,76.822914
random_walk,4.0,4.0,24.0,none,271.31232,77.604164
random_walk,4.0,4.0,4.0,none,10.048906,83.59375
random_walk,4.0,4.0,4.0,none,16.517763,77.34375
hebbian,4.0,4.0,24.0,none,379.32324,79.296875
anti_hebbian,4.0,4.0,24.0,none,342.4526,78.515625
random_walk,4.0,4.0,24.0,none,225.54459,92.447914
random_walk,4.0,4.0,4.0,none,6.205772,79.6875
random_walk,4.0,4.0,24.0,none,410.34207,75.91146
random_walk,4.0,4.0,4.0,none,8.744193,85.15625
anti_hebbian,4.0,4.0,24.0,none,285.6043,76.302086
hebbian,4.0,4.0,4.0,none,7.355658,79.6875
anti_hebbian,4.0,4.0,4.0,none,10.333694,66.40625
random_walk,4.0,4.0,24.0,none,303.18683,84.765625
random_walk,4.0,4.0,24.0,none,381.06546,78.645836
hebbian,4.0,4.0,24.0,none,180.27713,85.15625
anti_hebbian,4.0,4.0,4.0,none,5.7506943,81.25
anti_hebbian,4.0,4.0,4.0,none,13.638975,82.03125
hebbian,4.0,4.0,4.0,none,8.11684,75.0
anti_hebbian,4.0,4.0,4.0,none,13.000969,76.5625
random_walk,4.0,4.0,24.0,none,226.84225,75.91146
random_walk,4.0,4.0,4.0,none,6.3105087,80.46875
anti_hebbian,4.0,4.0,24.0,none,216.13829,79.81771
hebbian,4.0,4.0,24.0,none,315.00424,78.645836
random_walk,4.0,4.0,24.0,none,198.32193,84.635414
anti_hebbian,4.0,4.0,24.0,none,209.50638,79.296875
random_walk,4.0,4.0,4.0,none,4.70331,75.78125
random_walk,4.0,4.0,24.0,none,246.80042,84.765625
anti_hebbian,4.0,4.0,24.0,none,285.38486,78.25521
random_walk,4.0,4.0,4.0,none,7.132625,76.5625
anti_hebbian,4.0,4.0,4.0,none,6.0921183,80.46875
hebbian,4.0,4.0,4.0,none,15.7287655,81.25
hebbian,4.0,4.0,4.0,none,7.816225,78.90625
random_walk,4.0,4.0,4.0,none,9.202859,74.21875
anti_hebbian,4.0,4.0,24.0,none,343.4619,80.46875
hebbian,4.0,4.0,4.0,none,11.742746,79.6875
