update_rule,K,N,L,time_taken,eve_score_none,eve_score_geometric,eve_score_average
hebbian,4,6,16,283.705985,69.66146,69.66146,69.66146
random_walk,4,6,13,129.818535,68.26923,72.75641,70.51282
random_walk,4,6,8,44.4421365,74.21875,67.708336,70.963543
random_walk,4,5,6,27.639304,74.166664,69.166664,71.666664
random_walk,4,5,5,15.703068,65.5,78.5,72
random_walk,4,4,18,165.315505,74.826385,69.44444,72.1354125
anti_hebbian,4,4,5,23.328346,77.5,67.5,72.5
anti_hebbian,4,5,4,8.8147785,74.375,70.625,72.5
random_walk,4,7,9,50.8426225,70.2381,75,72.61905
anti_hebbian,4,5,20,219.19675,72.875,73.125,73
anti_hebbian,4,8,7,44.663887,72.54464,73.66071,73.102675
hebbian,4,6,6,26.785286,73.263885,73.263885,73.263885
hebbian,4,6,15,145.91719,80.416664,66.25,73.333332
random_walk,4,4,19,142.465685,74.67105,72.86184,73.766445
hebbian,4,6,4,16.5481835,74.479164,73.4375,73.958332
hebbian,4,5,12,83.1493575,70,78.125,74.0625
anti_hebbian,4,8,16,302.948315,75.390625,73.33984,74.3652325
random_walk,4,4,8,18.2846355,75.390625,74.21875,74.8046875
hebbian,4,4,5,10.861869,79.375,70.625,75
random_walk,4,8,5,30.957551,76.875,73.125,75
hebbian,4,4,6,26.7627795,72.916664,77.083336,75
hebbian,4,6,13,111.739832,79.80769,70.51282,75.160255
anti_hebbian,4,5,6,31.2160455,78.333336,72.083336,75.208336
random_walk,4,4,13,109.2746975,76.92308,73.79808,75.36058
hebbian,4,8,12,180.171505,73.697914,77.083336,75.390625
random_walk,4,8,16,199.855305,77.24609,73.63281,75.43945
hebbian,4,6,7,41.3011425,73.21429,77.67857,75.44643
hebbian,4,4,18,168.160485,79.166664,71.875,75.520832
random_walk,4,4,6,20.552238,78.645836,72.395836,75.520836
random_walk,4,8,12,150.085885,74.479164,77.21354,75.846352
anti_hebbian,4,7,22,398.43505,78.49026,73.376625,75.9334425
anti_hebbian,4,6,23,386.752535,74.184784,77.71739,75.951087
hebbian,24,24,4,954.856,77.05078125,74.8752175,75.96299938
anti_hebbian,4,4,20,245.844635,74.375,77.65625,76.015625
hebbian,4,4,12,59.8031825,69.270836,82.8125,76.041668
random_walk,4,5,8,47.385925,75.3125,76.875,76.09375
anti_hebbian,4,5,9,59.8583585,74.166664,78.333336,76.25
anti_hebbian,4,6,22,3900.10933,76.041664,76.60985,76.325757
hebbian,4,8,16,264.79725,81.25,71.484375,76.3671875
hebbian,4,7,7,31.1864735,78.31633,74.4898,76.403065
hebbian,4,8,8,103.532578,72.85156,80.078125,76.4648425
random_walk,4,4,16,154.807875,75.78125,77.14844,76.464845
hebbian,4,8,9,76.80013,71.52778,81.423615,76.4756975
anti_hebbian,4,5,12,106.6967925,82.083336,71.041664,76.5625
random_walk,4,6,7,24.3862465,74.10714,79.166664,76.636902
random_walk,4,4,20,195.43387,71.40625,81.875,76.640625
anti_hebbian,4,7,10,87.99271,73.57143,79.82143,76.69643
anti_hebbian,4,8,10,80.42563,73.59375,79.84375,76.71875
random_walk,4,6,23,373.0669,73.36957,80.16304,76.766305
hebbian,4,5,6,24.503802,76.25,77.5,76.875
random_walk,4,7,20,280.127995,76.07143,77.85714,76.964285
random_walk,4,24,4,95.57963988,78.320313,75.61848875,76.96940088
hebbian,4,7,18,230.31516,75,78.968254,76.984127
random_walk,24,24,4,831.6963275,77.560765,76.4431425,77.00195375
random_walk,4,4,7,28.097442,79.46429,74.55357,77.00893
random_walk,4,7,5,29.4963365,71.07143,83.21429,77.14286
hebbian,4,5,16,126.560665,72.03125,82.5,77.265625
random_walk,4,6,10,84.789295,77.708336,76.875,77.291668
random_walk,4,6,5,16.528473,76.25,78.333336,77.291668
random_walk,4,5,19,223.81152,78.947365,75.6579,77.3026325
hebbian,24,4,4,143.8772141,75.55338475,79.26432425,77.4088545
hebbian,4,8,6,42.2849465,80.989586,73.958336,77.473961
random_walk,4,4,10,39.5988445,85.9375,69.0625,77.5
