steps,training_time
6621,4956.128
8997,7324.7856
337,246.73741
3605,488.12292
347,250.87564
191,125.557175
10485,45829.63
252,170.12599
214,161.89905
2808,385.8715
9054,7395.5967
239,172.3799
5738,4178.3228
7417,5197.501
146,19.261759
162,22.006487
10412,7290.2944
123,19.760302
8276,5806.3584
7605,5230.5903
167,25.611248
346,1311.309
240,157.62242
6944,5247.2153
179,126.081825
187,138.09372
268,1049.9954
240,175.8743
184,140.21043
8295,6453.5415
228,159.14714
316,1185.1493
5066,717.16016
176,25.522127
390,1662.0814
6406,4415.074
3349,459.56122
6970,4849.672
3049,425.23148
156,20.940474
313,1247.9999
5194,752.1593
287,1210.9602
5019,4021.9604
6414,5142.4365
313,236.04045
5110,751.0823
293,201.65477
171,120.41283
8759,37004.44
275,192.04105
177,133.87077
3830,532.0423
6007,4750.404
276,204.87534
7386,5953.877
8907,36255.69
5879,4146.7373
97,14.10692
201,30.487541
9302,7008.3574
110,17.128601
6707,4844.526
7555,5739.183
140,21.336292
351,1369.4197
293,209.69672
6736,5346.1724
233,191.04655
210,180.4556
266,1056.189
238,190.01442
165,133.63144
6401,4871.235
252,195.07938
413,1878.8152
3358,509.30115
116,15.015315
352,1547.146
6636,4922.784
4201,626.9256
7079,4969.1016
4658,676.5032
54,7.57813
316,1347.8137
5916,927.13727
357,1455.2772
4352,214.46896
155,7.809325
5642,303.59805
6078,354.56805
4829,238.53914
159,7.649407
165,7.827735
4668,263.1948
151,8.414995
102,5.081625
8109,433.35257
170,8.549236
6571,366.16434
4496,237.66376
193,10.00217
135,6.499807
4341,232.0118
123,6.128345
4843,258.79315
293,16.37242
3987,212.30423
5338,282.50803
3570,188.9398
6578,356.53973
128,6.640419
93,5.329887
144,8.162473
6375,354.6694
147,7.8589
5007,263.22742
140,7.566306
3694,204.68016
90,4.516385
160,8.063276
147,7.2879763
91,4.7809896
5107,278.86154
6967,370.4734
4680,251.23233
5702,296.78757
144,7.141065
113,6.191615
5226,288.20453
166,9.728927
4131,199.17793
174,8.5709915
7370,393.47415
97,4.880953
8710,477.78708
77,4.2142887
6106,329.27176
118,6.438546
4115,216.68344
3911,226.96277
161,7.912174
3172,173.16725
4170,207.3201
299,15.006463
132,7.269621
157,7.992184
5501,303.43964
5124,264.3003
3469,194.282
169,8.600522
2450,141.92296
4021,210.22551
6350,371.38837
5036,264.0537
153,7.768085
4028,220.38739
186,9.634545
206,10.967479
6369,316.3922
147,7.570848
4324,235.4164
5912,299.3511
8029,414.57452
4741,238.96109
233,12.439831
145,7.0848217
118,6.235981
3139,164.35646
4670,271.31232
196,10.048906
289,16.517763
6747,379.32324
6200,342.4526
4005,225.54459
121,6.205772
7706,410.34207
160,8.744193
5429,285.6043
136,7.355658
203,10.333694
6028,303.18683
9100,381.06546
3507,180.27713
113,5.7506943
229,13.638975
146,8.11684
234,13.000969
4371,226.84225
114,6.3105087
4108,216.13829
6000,315.00424
4072,198.32193
4144,209.50638
85,4.70331
4360,246.80042
5067,285.38486
128,7.132625
117,6.0921183
269,15.7287655
144,7.816225
191,9.202859
6448,343.4619
220,11.742746
171,9.803807
5830,318.8178
4587,253.38655
5559,302.10666
233,12.913311
6144,346.6314
4652,268.75815
6467,336.52
97,5.067238
110,5.984529
3167,180.72704
67,3.595937
7540,435.74606
117,6.515113
3147,154.0437
6173,331.0334
5248,276.4402
4706,242.19476
120,6.424437
142,7.253467
3517,185.11029
147,8.054635
4664,233.26797
244,12.740131
5261,282.80667
5783,310.71426
147,8.503017
99,5.142272
219,11.707727
3439,183.61906
4921,274.56952
5885,350.16428
219,11.9769745
4330,222.79431
7183,400.50208
4589,247.02187
196,10.825806
4614,251.91086
5207,294.92435
258,14.006175
118,6.520112
6580,362.95956
95,4.5674896
4246,211.2224
5855,330.96298
149,7.467742
233,12.053422
6441,363.5734
73,3.724454
131,7.2055616
5199,277.43268
5136,306.67206
3596,190.34842
6774,363.8211
156,8.691622
167,8.735526
4916,261.0104
119,6.3296547
138,8.164256
109,5.986095
2917,168.58704
102,5.189322
150,7.430945
120,6.236633
141,7.405656
7048,416.3965
125,6.418991
135,7.305171
199,10.903158
6219,324.6515
126,5.573709
273,15.723022
130,6.6080837
5314,289.1545
119,6.3852463
3971,212.0875
267,14.453423
3445,178.15787
130,7.392557
176,9.8334465
3541,176.13545
161,8.623901
6724,382.90112
142,8.282537
105,5.455662
309,17.223534
7091,389.99823
158,7.918684
6632,365.05807
206,10.814214
4407,245.03195
4784,265.5035
133,7.600562
6896,366.08383
228,13.034623
180,9.552245
3749,204.30052
175,9.262986
108,5.631009
5605,296.0625
3382,184.05232
112,5.860661
159,8.123402
5748,291.67545
171,8.670717
118,6.158984
172,9.401358
2347,130.34654
7028,403.28116
4989,274.98175
198,10.116242
2921,156.40416
178,9.418424
203,10.615934
5161,276.07758
118,6.501801
6497,388.2677
113,6.4169188
4111,226.45074
71,4.0075684
148,8.22923
113,5.817733
5491,287.86148
6374,347.89273
3953,202.08627
125,6.4353437
7322,445.78235
7428,409.1554
168,9.03194
127,6.935066
201,9.988578
128,6.775962
110,5.921254
3969,201.8083
132,6.806027
4296,234.2708
90,4.286152
4808,258.50977
3172,177.43575
113,5.77934
7084,350.29742
124,6.3589544
155,8.7023735
9031,526.65173
114,6.651108
114,6.155769
154,9.3291855
6831,373.41013
134,7.6323633
206,11.016014
5974,328.80902
112,6.6675234
4140,222.36398
146,7.6407633
2732,148.05736
175,8.842759
4831,257.3435
206,11.581887
159,8.116662
4025,223.5739
155,7.588957
150,7.951269
220,10.845659
195,9.883515
5118,289.12204
5187,277.22253
4477,229.98985
5048,278.01038
174,9.220591
160,8.678255
154,8.881355
5440,272.72568
188,9.100695
188,9.914965
183,9.893603
5642,318.37875
169,10.082228
5127,298.68182
141,6.840026
193,9.495895
154,7.980226
6751,380.93967
4851,255.83513
3223,162.58102
130,6.635181
223,13.369048
116,6.362339
4139,203.25998
94,4.529323
4599,250.29626
132,6.8471537
134,6.289877
5259,290.47464
116,6.415534
112,6.253603
98,5.058029
105,5.599511
133,7.0898447
3296,171.85162
114,5.957203
157,8.368201
3533,192.18808
211,11.271144
6172,324.31616
186,10.959438
4301,233.36
